Component,Model,Specs
CPU,2x Intel Xeon,3.50Ghz 4c?
GPU,N/A,
RAM,"192Gb ",DDR3 @ 1333mzh
Motherboard,????,
Storage,N/A,outline below
PSU,2x 750W,
Optical Drive,N/A,
